timestamp,value
2014-03-07 3:41,45.868
2014-03-07 3:46,47.606
2014-03-07 3:51,42.58
2014-03-07 3:56,46.03
2014-03-07 4:01,44.992
2014-03-07 4:06,45.238
2014-03-07 4:11,45.752
2014-03-07 4:16,46.476
2014-03-07 4:21,42.752
2014-03-07 4:26,46.156
2014-03-07 4:31,43.35
2014-03-07 4:36,46.292
2014-03-07 4:41,43.428
2014-03-07 4:46,46.314
2014-03-07 4:51,43.688
2014-03-07 4:56,45.4
2014-03-07 5:01,45.858
2014-03-07 5:06,43.138
2014-03-07 5:11,46.024
2014-03-07 5:16,46.502
2014-03-07 5:21,42.606
2014-03-07 5:26,45.47
2014-03-07 5:31,42.652
2014-03-07 5:36,46.48
2014-03-07 5:41,45.47
2014-03-07 5:46,44.882
2014-03-07 5:51,42.502
2014-03-07 5:56,46.104
2014-03-07 6:01,43.884
2014-03-07 6:06,43.944
2014-03-07 6:11,46.056
2014-03-07 6:16,45.658
2014-03-07 6:21,43.662
2014-03-07 6:26,44.074
2014-03-07 6:31,42.91
2014-03-07 6:36,44.32
2014-03-07 6:41,44.718
2014-03-07 6:46,45.658
2014-03-07 6:51,42.63
2014-03-07 6:56,46.478
2014-03-07 7:01,46.432
2014-03-07 7:06,41.766
2014-03-07 7:11,47.008
2014-03-07 7:16,44.946
2014-03-07 7:21,42.112
2014-03-07 7:26,43.85
2014-03-07 7:31,43.78
2014-03-07 7:36,46.11
2014-03-07 7:41,43.662
2014-03-07 7:46,46.808
2014-03-07 7:51,40.586
2014-03-07 7:56,45.87
2014-03-07 8:01,43.618
2014-03-07 8:06,43.638
2014-03-07 8:11,48.412
2014-03-07 8:16,40.61
2014-03-07 8:21,43.402
2014-03-07 8:26,42.324
2014-03-07 8:31,44.564
2014-03-07 8:36,42.858
2014-03-07 8:41,45.638
2014-03-07 8:46,44.32
2014-03-07 8:51,40.916
2014-03-07 8:56,45.586
2014-03-07 9:01,43.696
2014-03-07 9:06,43.908
2014-03-07 9:11,47.042
